Sentence,Target,Completion,Item,Condition
"Vorgestern bemalte der Braumeister, nachdem er den Boden gewischt hatte,",das Bier,das zuvor gebraut wurde.,12,D
"Eine Zeit lang mähte der Gartenhelfer, nachdem er den Garten umgegraben hatte,",den Rasen,hinter der Villa.,13,A
"Eine Zeit lang mähte der Gartenhelfer, nachdem er die Garage aufgeräumt hatte,",den Rasen,hinter der Villa.,13,B
"Eine Zeit lang räucherte der Gartenhelfer, nachdem er den Garten umgegraben hatte,",den Rasen,hinter der Villa.,13,C
"Eine Zeit lang räucherte der Gartenhelfer, nachdem er die Garage aufgeräumt hatte,",den Rasen,hinter der Villa.,13,D
"Achtsam pflasterte der Bauarbeiter, der die Absperrungen umging,",die Straße,und den Bürgersteig.,14,A
"Achtsam pflasterte der Bauarbeiter, der die Steine schleppte,",die Straße,und den Bürgersteig.,14,B
"Achtsam salzte der Bauarbeiter, der die Absperrungen umging,",die Straße,und den Bürgersteig.,14,C
"Achtsam salzte der Bauarbeiter, der die Steine schleppte,",die Straße,und den Bürgersteig.,14,D
"Gestern läutete der Priester, nachdem er den Kirchturm erklommen hatte,",die Glocken,und freute sich.,15,A
"Gestern läutete der Priester, nachdem er die Armbanduhr ausgezogen hatte,",die Glocken,und freute sich.,15,B
"Gestern faltete der Priester, nachdem er den Kirchturm erklommen hatte,",die Glocken,und freute sich.,15,C
"Gestern faltete der Priester, nachdem er die Armbanduhr ausgezogen hatte,",die Glocken,und freute sich.,15,D
"Rasch näht der Notarzt, der den Verletzten betreut,",die Wunde,mit fünf Stichen.,16,A
"Rasch näht der Notarzt, der den Ohrring trägt,",die Wunde,mit fünf Stichen.,16,B
"Rasch versteckt der Notarzt, der den Verletzten betreut,",die Wunde,mit fünf Stichen.,16,C
"Rasch versteckt der Notarzt, der den Ohrring trägt,",die Wunde,mit fünf Stichen.,16,D
"Eilig bügelt der Geschäftsmann, nachdem er das Bügelbrett aufgestellt hat,",das Hemd,und die Hose.,17,A
"Eilig bügelt der Geschäftsmann, nachdem er den Eistee ausgetrunken hat,",das Hemd,und die Hose.,17,B
"Eilig salzt der Geschäftsmann, nachdem er das Bügelbrett aufgestellt hat,",das Hemd,und die Hose.,17,C
"Eilig salzt der Geschäftsmann, nachdem er den Eistee ausgetrunken hat,",das Hemd,und die Hose.,17,D
"Schnell repariert der KFZ-Mechatroniker, der den Motor ausgetauscht hat,",das Auto,und übergibt es an den Kunden.,18,A
"Schnell repariert der KFZ-Mechatroniker, der den Urlaub gebucht hat,",das Auto,und übergibt es an den Kunden.,18,B
"Schnell brät der KFZ-Mechatroniker, der den Motor ausgetauscht hat,",das Auto,und übergibt es an den Kunden.,18,C
"Schnell brät der KFZ-Mechatroniker, der den Urlaub gebucht hat,",das Auto,und übergibt es an den Kunden.,18,D
"Am Morgen knetet die Bäckerin, die den Kuchen backt,",den Teig,für das Brot.,19,A
"Am Morgen knetet die Bäckerin, die den Stammgast begrüßt,",den Teig,für das Brot.,19,B
"Am Morgen hört die Bäckerin, die den Kuchen backt,",den Teig,für das Brot.,19,C
"Am Morgen hört die Bäckerin, die den Stammgast begrüßt,",den Teig,für das Brot.,19,D
"Am Nachmittag pfeffert der Grillmeister, bevor er die Kohle anzündet,",das Steak,und die Beilagen.,20,A
"Am Nachmittag pfeffert der Grillmeister, bevor er die Mücke verscheucht,",das Steak,und die Beilagen.,20,B
"Am Nachmittag druckt der Grillmeister, bevor er die Kohle anzündet,",das Steak,und die Beilagen.,20,C
"Am Nachmittag druckt der Grillmeister, bevor er die Mücke verscheucht,",das Steak,und die Beilagen.,20,D
"Schnell entfacht der Brandstifter, der das Streichholz fallengelassen hat,",das Feuer,und rennt weg.,21,A
"Schnell entfacht der Brandstifter, der die Treppe hochgeklettert ist,",das Feuer,und rennt weg.,21,B
"Schnell entstaubt der Brandstifter, der das Streichholz fallengelassen hat,",das Feuer,und rennt weg.,21,C
"Schnell entstaubt der Brandstifter, der die Treppe hochgeklettert ist,",das Feuer,und rennt weg.,21,D
"Nun kämmt der Friseur, nachdem er die Kopfhaut massiert hat,",die Haare,und holt den Föhn.,22,A
"Nun kämmt der Friseur, nachdem er den Cappuccino ausgetrunken hat,",die Haare,und holt den Föhn.,22,B
"Nun speichert der Friseur, nachdem er die Kopfhaut massiert hat,",die Haare,und holt den Föhn.,22,C
"Nun speichert der Friseur, nachdem er den Cappuccino ausgetrunken hat,",die Haare,und holt den Föhn.,22,D
"Flink spitzte der Zeichner, der die Karikatur entwarf,",den Bleistift,und machte sich wieder an die Arbeit.,23,A
"Flink spitzte der Zeichner, der den Atlas öffnete,",den Bleistift,und machte sich wieder an die Arbeit.,23,B
"Flink knotete der Zeichner, der die Karikatur entwarf,",den Bleistift,und machte sich wieder an die Arbeit.,23,C
"Flink knotete der Zeichner, der den Atlas öffnete,",den Bleistift,und machte sich wieder an die Arbeit.,23,D
"Heute impft der Arzt, nachdem er die Spritze befüllt hat,",den Patienten,gegen Tetanus.,24,A
"Heute impft der Arzt, nachdem er die Schublade geschlossen hat,",den Patienten,gegen Tetanus.,24,B
"Heute feuert der Arzt, nachdem er die Spritze befüllt hat,",den Patienten,gegen Tetanus.,24,C
"Heute feuert der Arzt, nachdem er die Schublade geschlossen hat,",den Patienten,gegen Tetanus.,24,D
"Unverzüglich obduziert der Pathologe, nachdem er die Mordakte gelesen hat,",die Leiche,in der Leichenhalle.,25,A
"Unverzüglich obduziert der Pathologe, nachdem er das Dokument unterschrieben hat,",die Leiche,in der Leichenhalle.,25,B
"Unverzüglich pfeffert der Pathologe, nachdem er die Mordakte gelesen hat,",die Leiche,in der Leichenhalle.,25,C
"Unverzüglich pfeffert der Pathologe, nachdem er das Dokument unterschrieben hat,",die Leiche,in der Leichenhalle.,25,D
"Am Nachmittag signiert der Autor, der die Geschichte erfunden hat,",das Buch,für den Fan.,26,A
"Am Nachmittag signiert der Autor, der den Vorhang zugezogen hat,",das Buch,für den Fan.,26,B
"Am Nachmittag schluckt der Autor, der die Geschichte erfunden hat,",das Buch,für den Fan.,26,C
"Am Nachmittag schluckt der Autor, der den Vorhang zugezogen hat,",das Buch,für den Fan.,26,D
"Sofort begrüßte der Hotelier, der die Koffer stapelte,",die Gäste,und überreichte ihnen die Schlüssel.,27,A
"Sofort begrüßte der Hotelier, der die Fische räucherte,",die Gäste,und überreichte ihnen die Schlüssel.,27,B
"Sofort feuerte der Hotelier, der die Koffer stapelte,",die Gäste,und überreichte ihnen die Schlüssel.,27,C
"Sofort feuerte der Hotelier, der die Fische räucherte,",die Gäste,und überreichte ihnen die Schlüssel.,27,D
"Vorsichtig fällt der Holzarbeiter, der die Säge gestartet hat,",den Baum,neben der Schule.,28,A
"Vorsichtig fällt der Holzarbeiter, der den Transporter geparkt hat,",den Baum,neben der Schule.,28,B
"Vorsichtig durchwühlt der Holzarbeiter, der die Säge gestartet hat,",den Baum,neben der Schule.,28,C
"Vorsichtig durchwühlt der Holzarbeiter, der den Transporter geparkt hat,",den Baum,neben der Schule.,28,D
"Langsam paffte der Kubaner, der den Rauchring blies,",die Zigarre,und schlenderte über den Marktplatz.,29,A
"Langsam paffte der Kubaner, der die Straßenbahn verpasste,",die Zigarre,und schlenderte über den Marktplatz.,29,B
"Langsam öffnete der Kubaner, der den Rauchring blies,",die Zigarre,und schlenderte über den Marktplatz.,29,C
"Langsam öffnete der Kubaner, der die Straßenbahn verpasste,",die Zigarre,und schlenderte über den Marktplatz.,29,D
"Fröhlich paniert der Koch, nachdem er die Bratkartoffeln geschält hat,",das Schnitzel,für das Gericht.,30,A
"Fröhlich paniert der Koch, nachdem er die Ärmel hochgekrempelt hat,",das Schnitzel,für das Gericht.,30,B
"Fröhlich baut der Koch, nachdem er die Bratkartoffeln geschält hat,",das Schnitzel,für das Gericht.,30,C
"Fröhlich baut der Koch, nachdem er die Ärmel hochgekrempelt hat,",das Schnitzel,für das Gericht.,30,D
"Umsichtig glasiert der Konditor, der die Backform eingefettet hat,",den Kuchen,für die Geburtstagsfeier.,31,A
"Umsichtig glasiert der Konditor, der den Tisch abgewischt hat,",den Kuchen,für die Geburtstagsfeier.,31,B
"Umsichtig durchsucht der Konditor, der die Backform eingefettet hat,",den Kuchen,für die Geburtstagsfeier.,31,C
"Umsichtig durchsucht der Konditor, der den Tisch abgewischt hat,",den Kuchen,für die Geburtstagsfeier.,31,D
"Gestern ölte der Fahrradfahrer, bevor er die Bremse einstellte,",die Kette,und die Bremsen.,32,A
"Gestern ölte der Fahrradfahrer, bevor er die Limonade trank,",die Kette,und die Bremsen.,32,B
"Gestern beheizte der Fahrradfahrer, bevor er die Bremse einstellte,",die Kette,und die Bremsen.,32,C
"Gestern beheizte der Fahrradfahrer, bevor die Limonade trank,",die Kette,und die Bremsen.,32,D
"Hastig frankiert der Postbeamte, der das Postamt aufgeschlossen hat,",den Brief,an die Agentur.,33,A
"Hastig frankiert der Postbeamte, der das Mittagessen bestellt hat,",den Brief,an die Agentur.,33,B
"Hastig umgeht der Postbeamte, der das Postamt aufgeschlossen hat,",den Brief,an die Agentur.,33,C
"Hastig umgeht der Postbeamte, der das Mittagessen bestellt hat,",den Brief,an die Agentur.,33,D
"Fröhlich erklimmt der Wanderer, nachdem er das Tal durchquert hat,",den Berg,und stellt sein Zelt auf.,34,A
"Fröhlich erklimmt der Wanderer, nachdem er die Stoppuhr gestartet hat,",den Berg,und stellt sein Zelt auf.,34,B
"Fröhlich kauft der Wanderer, nachdem er das Tal durchquert hat,",den Berg,und stellt sein Zelt auf.,34,C
"Fröhlich kauft der Wanderer, nachdem er die Stoppuhr gestartet hat,",den Berg,und stellt sein Zelt auf.,34,D
"Bedächtig erteilt der General, der die Rekruten kommandiert,",den Befehl,zum Abmarsch.,35,A
"Bedächtig erteilt der General, der die Getränke einschenkt,",den Befehl,zum Abmarsch.,35,B
"Bedächtig biegt der General, der die Rekruten kommandiert,",den Befehl,zum Abmarsch.,35,C
"Bedächtig biegt der General, der die Getränke einschenkt,",den Befehl,zum Abmarsch.,35,D
"Sofort streicht der Maler, nachdem er die Tapete angebracht hat,",die Wand,des Büros.,36,A
"Sofort streicht der Maler, nachdem er den Hund gefüttert hat,",die Wand,des Büros.,36,B
"Sofort lenkt der Maler, nachdem er die Tapete angebracht hat,",die Wand,des Büros.,36,C
"Sofort lenkt der Maler, nachdem er den Hund gefüttert hat,",die Wand,des Büros.,36,D
"Direkt schwingt der Schmied, der den Amboss aufgestellt hat,",den Hammer,auf das Metall.,37,A
"Direkt schwingt der Schmied, der den Stuhl weggestellt hat,",den Hammer,auf das Metall.,37,B
"Direkt speichert der Schmied, der den Amboss aufgestellt hat,",den Hammer,auf das Metall.,37,C
"Direkt speichert der Schmied, der den Stuhl weggestellt hat,",den Hammer,auf das Metall.,37,D
"Vor langer Zeit regierte der König, der die Reise unternahm,",das Land,im Norden.,38,A
"Vor langer Zeit regierte der König, der den Gesang vernahm,",das Land,im Norden.,38,B
"Vor langer Zeit briet der König, der die Reise unternahm,",das Land,im Norden.,38,C
"Vor langer Zeit briet der König, der den Gesang vernahm,",das Land,im Norden.,38,D
"Zügig hob der Dirigent, der das Tempo wechselte,",den Stab,und gab den Takt an.,39,A
"Zügig hob der Dirigent, der das Gähnen unterdrückte,",den Stab,und gab den Takt an.,39,B
"Zügig verdrückte der Dirigent, der das Tempo wechselte,",den Stab,und gab den Takt an.,39,C
"Zügig verdrückte der Dirigent, der das Gähnen unterdrückte,",den Stab,und gab den Takt an.,39,D
"Direkt trimmt der Herrenfriseur, nachdem er die Klinge ausgepackt hat,",den Bart,des Mannes.,40,A
"Direkt trimmt der Herrenfriseur, nachdem er das Wasserglas abgestellt hat,",den Bart,des Mannes.,40,B
"Direkt hört der Herrenfriseur, nachdem er die Klinge ausgepackt hat,",den Bart,des Mannes.,40,C
"Direkt hört der Herrenfriseur, nachdem er das Wasserglas abgestellt hat,",den Bart,des Mannes.,40,D
"Gestern spülte der Tellerwäscher, bevor er den Tisch wischte,",das Geschirr,und die Brettchen.,41,A
"Gestern spülte der Tellerwäscher, bevor er das Taxi rief,",das Geschirr,und die Brettchen.,41,B
"Gestern glättete der Tellerwäscher, bevor er den Tisch wischte,",das Geschirr,und die Brettchen.,41,C
"Gestern glättete der Tellerwäscher, bevor er das Taxi rief,",das Geschirr,und die Brettchen.,41,D
"Im Handumdrehen knackt der Einbrecher, der den Zahlencode erraten hat,",das Schloss,und stiehlt die Wertsachen.,42,A
"Im Handumdrehen knackt der Einbrecher, der die Akte durchblättert hat,",das Schloss,und stiehlt die Wertsachen.,42,B
"Im Handumdrehen kopiert der Einbrecher, der den Zahlencode erraten hat,",das Schloss,und stiehlt die Wertsachen.,42,C
"Im Handumdrehen kopiert der Einbrecher, der die Akte durchblättert hat,",das Schloss,und stiehlt die Wertsachen.,42,D
"Routiniert hackte der Küchengehilfe, bevor er die Suppe umrührte,",die Zwiebeln,und den Knoblauch.,43,A
"Routiniert hackte der Küchengehilfe, bevor er das Radio einschaltete,",die Zwiebeln,und den Knoblauch.,43,B
"Routiniert schraubte der Küchengehilfe, bevor er die Suppe umrührte,",die Zwiebeln,und den Knoblauch.,43,C
"Routiniert schraubte der Küchengehilfe, bevor er das Radio einschaltete,",die Zwiebeln,und den Knoblauch.,43,D
"Umsichtig schmolz der Kerzenzieher, nachdem er den Docht gekürzt hatte,",das Wachs,und fuhr mit der Arbeit fort.,44,A
"Umsichtig schmolz der Kerzenzieher, nachdem er das Nähkästchen zugeklappt hatte,",das Wachs,und fuhr mit der Arbeit fort.,44,B
"Umsichtig würzte der Kerzenzieher, nachdem er den Docht gekürzt hatte,",das Wachs,und fuhr mit der Arbeit fort.,44,C
"Umsichtig würzte der Kerzenzieher, nachdem er das Nähkästchen zugeklappt hatte,",das Wachs,und fuhr mit der Arbeit fort.,44,D
"Gestern mixte der Barkeeper, der den Wodka geöffnet hatte,",den Cocktail,für den Touristen.,45,A
"Gestern mixte der Barkeeper, der den Boden gefegt hatte,",den Cocktail,für den Touristen.,45,B
"Gestern gründete der Barkeeper, der den Wodka geöffnet hatte,",den Cocktail,für den Touristen.,45,C
"Gestern gründete der Barkeeper, der den Boden gefegt hatte,",den Cocktail,für den Touristen.,45,D
"Am Abend dirigiert der Kapellmeister, der das Konzert eröffnet hat,",das Orchester,und das Streichquartett.,46,A
"Am Abend dirigiert der Kapellmeister, der die Unterschriften gesammelt hat,",das Orchester,und das Streichquartett.,46,B
"Am Abend vernichtet der Kapellmeister, der das Konzert eröffnet hat,",das Orchester,und das Streichquartett.,46,C
"Am Abend vernichtet der Kapellmeister, der die Unterschriften gesammelt hat,",das Orchester,und das Streichquartett.,46,D
"Direkt buchstabiert der Sprachschüler, nachdem er das Buch aufgeschlagen hat,",das Wort,und notiert es.,47,A
"Direkt buchstabiert der Sprachschüler, nachdem er den Pausenhof verlassen hat,",das Wort,und notiert es.,47,B
"Direkt dekoriert der Sprachschüler, nachdem er das Buch aufgeschlagen hat,",das Wort,und notiert es.,47,C
"Direkt dekoriert der Sprachschüler, nachdem er den Pausenhof verlassen hat,",das Wort,und notiert es.,47,D
"Vorsichtig umzäunt der Schäfer, der die Schafe gehütet hat,",die Weide,mit einem Draht.,48,A
"Vorsichtig umzäunt der Schäfer, der das Mittagessen vergessen hat,",die Weide,mit einem Draht.,48,B
"Vorsichtig fälscht der Schäfer, der die Schafe gehütet hat,",die Weide,mit einem Draht.,48,C
"Vorsichtig fälscht der Schäfer, der das Mittagessen vergessen hat,",die Weide,mit einem Draht.,48,D
"Nachdenklich hält der Pfarrer, nachdem er die Bibel aufgeschlagen hat,",die Predigt,für die Gemeinde.,49,A
"Nachdenklich hält der Pfarrer, nachdem er die Brille aufgesetzt hat,",die Predigt,für die Gemeinde.,49,B
"Nachdenklich leert der Pfarrer, nachdem er die Bibel aufgeschlagen hat,",die Predigt,für die Gemeinde.,49,C
"Nachdenklich leert der Pfarrer, nachdem er die Brille aufgesetzt hat,",die Predigt,für die Gemeinde.,49,D
"Unverzüglich möblierte der Vermieter, der den Mieter aufgenommen hatte,",die Wohnung,mit neuen Möbeln.,50,A
"Unverzüglich möblierte der Vermieter, der die Überweisung erhalten hatte,",die Wohnung,mit neuen Möbeln.,50,B
"Unverzüglich erntete der Vermieter, der den Mieter aufgenommen hatte,",die Wohnung,mit neuen Möbeln.,50,C
"Unverzüglich erntete der Vermieter, der die Überweisung erhalten hatte,",die Wohnung,mit neuen Möbeln.,50,D
"Sofort betätigt der Killer, der das Ziel anvisiert hat,",den Abzug,und trifft das Opfer.,51,A
"Sofort betätigt der Killer, der den Tee abgestellt hat,",den Abzug,und trifft das Opfer.,51,B
"Sofort knickt der Killer, der das Ziel anvisiert hat,",den Abzug,und trifft das Opfer.,51,C
"Sofort knickt der Killer, der den Tee abgestellt hat,",den Abzug,und trifft das Opfer.,51,D
"Heute überbringt der Bote, als er den Empfänger angetroffen hat,",das Paket,mit der Arbeitskleidung.,52,A
"Heute überbringt der Bote, als er das Foyer durchquert hat,",das Paket,mit der Arbeitskleidung.,52,B
"Heute erntet der Bote, als er den Empfänger angetroffen hat,",das Paket,mit der Arbeitskleidung.,52,C
"Heute erntet der Bote, als er das Foyer durchquert hat,",das Paket,mit der Arbeitskleidung.,52,D
"Schnell schoss der Fußballspieler, der das Fußballfeld überquert hatte,",das Tor,und jubelte über seinen Erfolg.,53,A
"Schnell schoss der Fußballspieler, der die Jacke ausgezogen hatte,",das Tor,und jubelte über seinen Erfolg.,53,B
"Schnell spürte der Fußballspieler, der das Fußballfeld überquert hatte,",das Tor,und jubelte über seinen Erfolg.,53,C
"Schnell spürte der Fußballspieler, der die Jacke ausgezogen hatte,",das Tor,und jubelte über seinen Erfolg.,53,D
"Konzentriert steuerte der Pilot, der die Stewardess gerufen hatte,",das Flugzeug,durch die Wolken.,54,A
"Konzentriert steuerte der Pilot, der den Krimi gelesen hatte,",das Flugzeug,durch die Wolken.,54,B
"Konzentriert faltete der Pilot, der die Stewardess gerufen hatte,",das Flugzeug,durch die Wolken.,54,C
"Konzentriert faltete der Pilot, der den Krimi gelesen hatte,",das Flugzeug,durch die Wolken.,54,D
"Rasch entwarf der Architekt, bevor er den Bauplan erstellte,",die Skizze,für den Bauherrn.,55,A
"Rasch entwarf der Architekt, bevor er den Vortrag schrieb,",die Skizze,für den Bauherrn.,55,B
"Rasch schüttelte der Architekt, bevor er den Bauplan erstellte,",die Skizze,für den Bauherrn.,55,C
"Rasch schüttelte der Architekt, bevor er den Vortrag schrieb,",die Skizze,für den Bauherrn.,55,D
"Geschwind kehrt der Schornsteinfeger, der den Rauch einatmet,",den Kamin,und verlässt das Grundstück.,56,A
"Geschwind kehrt der Schornsteinfeger, der die Katze verscheucht,",den Kamin,und verlässt das Grundstück.,56,B
"Geschwind wirft der Schornsteinfeger, der den Rauch einatmet,",den Kamin,und verlässt das Grundstück.,56,C
"Geschwind wirft der Schornsteinfeger, der die Katze verscheucht,",den Kamin,und verlässt das Grundstück.,56,D
"Vorgestern gewann der Politiker, der die Stimmen zählte,",die Wahl,zum Minister.,57,A
"Vorgestern gewann der Politiker, der die Hände schüttelte,",die Wahl,zum Minister.,57,B
"Vorgestern reparierte der Politiker, der die Stimmen zählte,",die Wahl,zum Minister.,57,C
"Vorgestern reparierte der Politiker, der die Hände schüttelte,",die Wahl,zum Minister.,57,D
"Sofort schoss der Reporter, der die Kamera bediente,",das Foto,von der Unfallstelle.,58,A
"Sofort schoss der Reporter, der die Zigarette rauchte,",das Foto,von der Unfallstelle.,58,B
"Sofort verspeiste der Reporter, der die Kamera bediente,",das Foto,von der Unfallstelle.,58,C
"Sofort verspeiste der Reporter, der die Zigarette rauchte,",das Foto,von der Unfallstelle.,58,D
"Unverzüglich entwickelte der Informatiker, der den Computer hochfuhr,",das Programm,für seinen Boss.,59,A
"Unverzüglich entwickelte der Informatiker, der den Energydrink trank,",das Programm,für seinen Boss.,59,B
"Unverzüglich trocknete der Informatiker, der den Computer hochfuhr,",das Programm,für seinen Boss.,59,C
"Unverzüglich trocknete der Informatiker, der den Energydrink trank,",das Programm,für seinen Boss.,59,D
"Nun verkündete der Richter, nachdem er den Angeklagten hereingerufen hatte,",das Urteil,und schloss die Verhandlung.,60,A
"Nun verkündete der Richter, nachdem er die Lesebrille aufgesetzt hatte,",das Urteil,und schloss die Verhandlung.,60,B
"Nun roch der Richter, nachdem er den Angeklagten hereingerufen hatte,",das Urteil,und schloss die Verhandlung.,60,C
"Nun roch der Richter, nachdem er die Lesebrille aufgesetzt hatte,",das Urteil,und schloss die Verhandlung.,60,D
"Zunächst bestand der Student, der das Studium wiederaufnahm,",die Prüfung,in Mathematik.,61,A
"Zunächst bestand der Student, der das Jackett auszog,",die Prüfung,in Mathematik.,61,B
"Zunächst kochte der Student, der das Studium wiederaufnahm,",die Prüfung,in Mathematik.,61,C
"Zunächst kochte der Student, der das Jackett auszog,",die Prüfung,in Mathematik.,61,D
"Konzentriert sang der Sänger, der das Mikrofon umklammerte,",das Lied,über die Vergangenheit.,62,A
"Konzentriert sang der Sänger, der den Hut abnahm,",das Lied,über die Vergangenheit.,62,B
"Konzentriert reparierte der Sänger, der das Mikrofon umklammerte,",das Lied,über die Vergangenheit.,62,C
"Konzentriert reparierte der Sänger, der den Hut abnahm,",das Lied,über die Vergangenheit.,62,D
"Zufrieden mischte der Anstreicher, der die Pinsel gewaschen hatte,",die Farbe,für den nächsten Auftrag.,63,A
"Zufrieden mischte der Anstreicher, der die Plätzchen gegessen hatte,",die Farbe,für den nächsten Auftrag.,63,B
"Zufrieden würzte der Anstreicher, der die Pinsel gewaschen hatte,",die Farbe,für den nächsten Auftrag.,63,C
"Zufrieden würzte der Anstreicher, der die Plätzchen gegessen hatte,",die Farbe,für den nächsten Auftrag.,63,D
"Einen Moment lang gießt der Gärtner, der den Dünger verteilt hat,",die Blumen,im Blumenkasten.,64,A
"Einen Moment lang gießt der Gärtner, der die Opernmusik angestellt hat,",die Blumen,im Blumenkasten.,64,B
"Einen Moment lang ölt der Gärtner, der den Dünger verteilt hat,",die Blumen,im Blumenkasten.,64,C
"Einen Moment lang ölt der Gärtner, der die Opernmusik angestellt hat,",die Blumen,im Blumenkasten.,64,D
"Gestern Nachmittag stutzte der Landschaftsgärtner, der die Gartenschere geschärft hatte,",die Hecke,um das Grundstück.,65,A
"Gestern Nachmittag stutzte der Landschaftsgärtner, der die Sonnenbrille aufgesetzt hatte,",die Hecke,um das Grundstück.,65,B
"Gestern Nachmittag bezahlte der Landschaftsgärtner, der die Gartenschere geschärft hatte,",die Hecke,um das Grundstück.,65,C
